Period,Between_Percent,Within_Percent,Total_Theil,Between_CI_Lower,Between_CI_Upper,Within_CI_Lower,Within_CI_Upper
2000,33.12603014337925,66.87396985662075,3.028615138071798,22.556957065861784,52.083267234365174,47.916732765634826,77.44304293413822
2002,27.39605376459056,72.60394623540944,1.6859106608265924,19.433223499707047,43.10226955105969,56.89773044894031,80.56677650029295
2004,29.716677317313074,70.28332268268693,3.495473404708804,14.407555522398743,44.398213576985924,55.601786423014055,85.59244447760126
2006,25.548568130512738,74.45143186948727,3.3011054075064226,14.083755711164383,44.36533878008243,55.63466121991753,85.91624428883561
2008,18.715726110582033,81.28427388941797,1.823338123607693,17.202785777820463,29.315250447593108,70.68474955240688,82.79721422217953
2010,37.99350570997436,62.006494290025636,3.294284148513772,25.85050365878007,48.950945958730216,51.04905404126977,74.14949634121992
2012,22.529727518520158,77.47027248147982,2.460223086077196,9.832393553741937,37.79970356441593,62.20029643558407,90.16760644625806
2014,21.740817408245196,78.25918259175481,2.4488878501481914,18.86631744510254,31.591722647233393,68.4082773527666,81.13368255489746
2016,20.460951097229906,79.53904890277009,2.8121126060447574,19.160496612474915,30.334878165676727,69.66512183432327,80.83950338752508
2018,24.437218904569125,75.56278109543088,1.9133835823751233,17.63684611423044,33.129686151331235,66.87031384866876,82.36315388576956
2020,16.488893046097804,83.5111069539022,1.612918715340169,14.766833651608883,23.5503604718574,76.4496395281426,85.23316634839112
2022,24.783957388801277,75.21604261119872,2.1246272550060903,22.99272551484349,34.25414031815712,65.74585968184287,77.0072744851565
2024,24.908768873514656,75.09123112648535,2.1912337022613935,20.556381134648813,34.02693990035465,65.97306009964535,79.44361886535118
